Period,AAL,AAPL,AAP,ABBV,ABC,ABT,ACN,ADBE,ADI,ADM,ADP,ADSK,ADS,AEE,AEP,AES,AET,AFL,AGN,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALXN,AMAT,AMD,AME,AMGN,AMG,AMP,AMT,AMZN,ANDV,ANSS,ANTM,AON,AOS,APA,APC,APD,APH,ARE,ARNC,ATVI,AVB,AVGO,AVY,AWK,AXP,AYI,AZO,A,BAC,BAX,BA,BBT,BBY,BDX,BEN,BF.B,BIIB,BK,BLK,BLL,BRK.B,BSX,BWA,BXP,CAG,CAH,CAT,CA,CBG,CBOE,CBS,CB,CCI,CCL,CDNS,CELG,CERN,CF,CHD,CHK,CHRW,CHTR,CINF,CI,CLX,CL
2013-02-08,15.07,67.7142,78.34,36.37,46.52,34.39,73.01,38.31,44.72,30.31,60.71,38.79,153.88,32.79,44.55,11.12,49.83,50.38,87.26,38.76,27.4,38.55,38.0,35.5,61.78,32.4,23.995,45.05,93.11,13.41,2.58,41.22,85.61,146.84,66.21,75.76,261.4,52.46,74.72,65.98,56.01,17.3825,84.13,84.13,87.55,34.76,72.72,26.76,13.2,127.51,35.28,39.11,38.99,62.06,69.21,380.32,45.07,11.86,68.6,77.24,30.67,15.61,87.96,46.6066,32.595,163.57,27.8,236.64,22.635,97.25,7.64,36.75,104.28,33.25,44.9,96.1,24.88,23.87,34.39,42.41,85.1,70.32,39.11,13.96,49.425,43.4,45.08,29.54,20.16,59.36,80.5,44.5,61.7,80.78,55.025
2013-03-01,13.37,62.5714,76.37,36.8,47.22,33.69,74.13,39.3,45.0,31.7,61.29,37.25,157.79,33.71,46.62,11.56,47.02,50.09,85.17,37.46,29.52,41.74,38.32,36.7,64.41,31.18,25.68,45.96,86.74,13.58,2.5,41.67,91.16,145.16,68.04,77.54,263.27,55.85,76.12,61.98,60.8,17.77,73.56,78.87,85.85,35.29,70.85,25.35,14.26,124.56,33.92,40.63,39.51,61.84,67.51,379.13,41.18,11.13,67.41,76.7,30.21,17.38,88.0,46.6933,32.8,165.3,26.99,238.17,22.17,101.45,7.35,36.98,103.57,34.03,46.17,91.54,24.38,23.87,35.84,42.93,85.14,69.71,35.59,14.04,51.625,43.84,39.91,30.885,19.95,56.74,85.77,44.92,58.26,83.8,57.045
2013-04-01,17.02,63.1285,82.54,39.96,51.38,35.18,76.07,43.36,46.28,33.73,64.66,40.09,161.54,34.94,48.55,12.57,51.03,52.06,92.33,38.8,30.58,45.01,41.24,35.37,62.22,33.4,31.875,49.17,91.07,13.48,2.54,43.32,102.6199,153.41,73.52,76.97,266.98,58.27,81.1,66.29,61.35,18.415,77.21,87.16,86.69,37.385,70.71,25.53,14.53,127.18,35.82,43.08,41.42,67.42,69.4,396.01,41.83,12.15,72.47,85.6,31.41,22.13,95.65,50.2166,35.675,193.66,27.91,256.5,23.74,104.17,7.83,38.685,100.86,35.83,41.69,86.86,25.23,25.28,36.89,46.73,89.1,69.69,34.35,13.96,58.255,47.485,37.958,32.205,20.4,59.5,104.65,47.35,62.31,88.53,58.935
2013-05-01,16.91,63.4942,83.85,45.74,54.06,36.77,81.44,45.14,44.12,33.79,67.39,39.23,170.49,36.24,51.48,13.86,57.53,54.29,105.24,42.0,31.11,47.69,43.75,43.8699,60.82,32.88,30.82,49.28,98.0,14.5,2.81,40.4,105.05,154.95,74.35,78.54,253.9,52.66,80.55,72.5,60.38,18.835,73.45,84.17,86.69,37.75,72.3,25.35,14.95,133.5,32.06,41.22,41.74,68.25,72.51,409.19,41.42,12.2,69.55,91.08,30.68,25.69,94.31,51.5699,35.245,215.39,28.13,265.38,22.065,105.97,7.47,38.985,108.88,35.33,44.22,84.07,26.97,24.1,37.48,45.75,88.78,77.07,34.43,13.82,58.96,48.025,37.152,31.815,19.9,59.46,100.48,48.66,66.2,83.25,59.72
2013-06-03,17.54,64.3899,81.54,42.88,54.01,36.63,82.48,42.98,45.94,32.31,68.66,37.95,177.74,34.11,45.8,12.2099,60.46,55.84,123.73,44.68,30.41,49.84,43.75,46.22,66.9,36.03,28.475,48.24,97.89,15.21,4.02,43.27,100.61,163.85,81.91,77.83,268.96,62.2,74.87,77.07,63.69,19.625,82.71,87.85,94.39,39.09,68.62,25.59,14.4,132.67,37.68,43.4,40.06,75.89,75.08,408.35,45.65,13.69,70.42,99.36,33.06,28.23,98.96,51.6666,34.275,234.15,30.16,279.94,21.565,114.76,9.25,40.71,106.88,33.67,47.07,85.91,27.3,23.24,40.44,49.5,89.65,71.25,32.73,15.25,62.06,49.19,38.318,30.415,21.98,56.73,112.74,47.47,68.02,83.15,57.91
2013-07-01,16.5,57.5271,81.72,41.4,56.11,34.97,72.14,45.23,45.0,34.11,68.83,34.01,180.99,34.44,44.98,12.11,64.18,58.53,126.63,44.82,30.31,51.17,43.89,42.74,62.59,37.01,26.1,48.3,93.73,15.06,4.11,42.44,100.2,163.5,81.6,73.43,279.0,52.4,73.63,82.0,64.87,18.16,84.21,86.33,91.51,39.295,66.02,23.49,14.25,134.81,37.85,42.96,41.29,75.53,75.98,424.44,43.05,12.95,69.64,102.93,34.08,27.9,99.43,45.6333,33.845,220.25,28.22,257.61,20.85,112.51,9.32,43.3,106.27,35.0,47.54,83.04,29.0,23.55,46.76,48.89,89.87,72.5,34.56,14.6,59.65,48.5,34.644,30.905,20.46,56.86,124.2,46.24,73.17,83.53,57.6
2013-08-01,19.44,65.1075,83.17,45.14,58.39,36.89,74.21,47.62,49.57,36.72,70.51,34.79,199.38,35.72,46.48,12.53,64.38,62.39,134.76,46.02,29.46,54.55,44.85,47.51,62.49,43.23,30.755,51.93,117.55,16.45,3.81,46.74,109.6,182.5,89.95,71.4,303.08,57.3,81.0,86.03,67.87,20.855,81.85,89.47,109.49,39.64,68.91,24.0,17.99,135.88,37.03,45.09,43.01,74.53,87.5,447.58,45.51,14.845,73.5,105.99,35.98,30.18,104.0,49.35,36.62,218.82,31.83,286.0,22.52,116.98,10.96,48.21,106.92,36.49,50.73,83.62,30.1,23.36,50.64,54.24,92.17,70.54,37.4,14.69,74.09,49.3,39.684,32.445,24.06,60.2175,125.75,49.32,78.06,86.7,60.27
2013-09-03,16.38,70.4428,81.3499,43.0,57.46,33.68,72.72,46.21,46.97,35.43,71.98,37.11,198.28,34.05,43.03,12.87,63.83,58.52,136.68,47.1,27.76,53.73,41.97,46.4,63.05,44.33,28.84,48.92,109.34,15.2,3.32,43.51,110.53,177.29,87.59,69.82,284.73,46.56,85.12,85.62,67.17,21.285,86.5,92.43,103.3,38.125,62.21,23.37,16.81,124.78,38.82,43.3,40.79,72.59,86.53,421.45,47.04,14.3,70.26,105.13,34.41,36.44,98.42,46.68,33.7,216.0,30.13,265.0,22.475,112.32,10.77,48.93,103.1,34.15,50.82,83.15,29.71,22.19,46.3,52.62,88.69,69.32,35.94,13.56,70.885,47.15,38.492,30.0,26.07,57.46,122.66,46.26,79.45,83.25,58.35
2013-10-01,18.98,68.3499,82.7,44.81,61.18,33.17,73.54,52.1,47.07,36.8,72.58,40.36,211.23,34.91,43.52,13.33,64.2,62.61,144.0,48.52,27.88,54.19,43.68,51.74,62.65,48.0,31.43,50.67,116.8,17.58,3.82,46.13,111.99,182.93,91.2,74.13,314.22,43.93,86.82,83.8,74.63,22.595,84.76,92.89,105.72,38.695,63.91,24.3,16.68,127.09,43.14,43.49,40.97,75.64,92.94,421.86,50.7,13.85,65.69,117.97,33.93,37.56,100.11,50.58,34.14,242.85,30.29,270.0,22.44,113.74,11.78,50.825,107.06,30.29,52.29,83.56,29.64,23.09,45.2,55.29,93.73,73.21,32.68,13.5,77.35,52.52,42.0,30.06,25.83,59.71,134.8,47.17,76.9,81.75,59.23
2013-11-01,22.04,74.8599,98.26,48.64,65.55,36.69,73.89,54.61,49.68,41.03,75.35,40.11,236.73,36.28,47.0,14.08,62.71,65.17,155.14,48.67,27.97,58.74,47.48,45.01,66.12,56.96,35.57,53.31,124.06,17.85,3.37,47.85,117.07,198.21,100.67,79.45,365.63,48.92,87.53,85.15,79.38,25.91,88.89,95.44,108.95,40.29,65.89,27.93,16.68,125.86,45.79,47.3,43.0,82.12,100.43,436.01,50.92,13.995,66.02,130.9,33.95,43.37,105.56,54.03,36.44,245.57,31.93,300.92,24.465,115.28,11.69,51.62,103.96,31.85,58.34,83.78,31.96,23.15,50.11,59.28,95.44,75.94,34.67,13.05,74.635,56.31,43.0,32.135,27.9,60.05,134.7,50.12,76.99,89.56,64.82
